distance_sd,normal_closed,normal_mc,t3_closed,t3_mc,t3_vs_normal_ratio
0.25,0.401294,0.401648,0.347124,0.348333,0.865013
0.5,0.308538,0.308956,0.225092,0.22603,0.729546
0.8,0.211855,0.212006,0.12995,0.130482,0.613391
1.0,0.158655,0.159051,0.090845,0.091036,0.572594
1.5,0.066807,0.067063,0.040255,0.040289,0.602552
2.0,0.02275,0.022948,0.02026,0.020213,0.890529
2.1,0.017864,0.01795,0.017905,0.017871,1.002253
2.5,0.00621,0.006159,0.011357,0.011296,1.828909
3.0,0.00135,0.00135,0.006923,0.006795,5.128844
