indicator_id,display_label,country,value_pct,population_scope,nationality_scope,age_scope,denominator,reference_period,source_release,release_date,source_agency,source_type,vintage,revision_status,comparability_flag,source_url,accessed_at
SAU-UNEMP-Q1-2026-NAT,Unemployment rate among Saudis,Saudi Arabia,6.4,LFS resident population subset,Saudi nationals,15+,unemployed persons / labour force,2026 Q1,Labor Market Statistics - Q1 2026,2026-06-30,GASTAT,Labour Force Survey,2026-06-30 release,not stated in release,CAUTION,https://www.stats.gov.sa/en/w/labor-market-statistics-q1-2026-1,2026-08-18
SAU-UNEMP-Q1-2026-TOT,Overall unemployment rate,Saudi Arabia,3.1,Total resident population covered by LFS,Saudis and non-Saudis,15+,unemployed persons / labour force,2026 Q1,Labor Market Statistics - Q1 2026,2026-06-30,GASTAT,Labour Force Survey,2026-06-30 release,not stated in release,CAUTION,https://www.stats.gov.sa/en/w/labor-market-statistics-q1-2026-1,2026-08-18
JOR-UNEMP-Q1-2026-TOT,Unemployment rate for the total population,Jordan,16.1,All residents covered by LFS,Jordanians and non-Jordanians,15+ framework,unemployed persons / labour force,2026 Q1,Unemployment Rate Decreased to 16.1% in Q1 2026,2026-06-17,Department of Statistics (Jordan),Labour Force Survey,2026-06-17 release,not stated in release,CAUTION,https://dosweb.dos.gov.jo/unemp_062026/,2026-08-18
JOR-UNEMP-Q1-2026-NAT,Unemployment rate among Jordanians,Jordan,21.1,Jordanian labour-force population covered by LFS,Jordanian nationals,15+,unemployed persons / labour force,2026 Q1,Q1 2026 unemployment press release,2026-06-17,Department of Statistics (Jordan),Labour Force Survey,2026-06-17 release,not stated in release,CAUTION,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,2026-08-18
