record_id,state,jurisdiction,statistical_authority,indicator,reference_period,release_stage,official_release_date,lab_freeze_date,series,value,unit,price_volume_basis,official_release_url,source_file,source_sha256,validation_state
MSVR-0001,LIVE,Saudi Arabia,General Authority for Statistics (GASTAT),Real Gross Domestic Product,2026-Q2,flash estimate,2026-07-30,2026-08-20,Real GDP,-4.8,percent year-on-year growth,"chain-linked volume measure; 2023=100",https://stats.gov.sa/en/w/gdp-flash-estimate-q2/2026-1,GDP Flash Estimates 2026Q2-EN (1).xlsx,,OFFICIAL SOURCE | REAL PUBLIC DATA | FOUNDER PRODUCED | PENDING INDEPENDENT REPRODUCTION
MSVR-0001,LIVE,Saudi Arabia,General Authority for Statistics (GASTAT),Real Gross Domestic Product,2026-Q2,flash estimate,2026-07-30,2026-08-20,Oil activities,-24.7,percent year-on-year growth,"chain-linked volume measure; 2023=100",https://stats.gov.sa/en/w/gdp-flash-estimate-q2/2026-1,GDP Flash Estimates 2026Q2-EN (1).xlsx,,OFFICIAL SOURCE | REAL PUBLIC DATA | FOUNDER PRODUCED | PENDING INDEPENDENT REPRODUCTION
MSVR-0001,LIVE,Saudi Arabia,General Authority for Statistics (GASTAT),Real Gross Domestic Product,2026-Q2,flash estimate,2026-07-30,2026-08-20,Non-oil activities,0.6,percent year-on-year growth,"chain-linked volume measure; 2023=100",https://stats.gov.sa/en/w/gdp-flash-estimate-q2/2026-1,GDP Flash Estimates 2026Q2-EN (1).xlsx,,OFFICIAL SOURCE | REAL PUBLIC DATA | FOUNDER PRODUCED | PENDING INDEPENDENT REPRODUCTION
MSVR-0001,LIVE,Saudi Arabia,General Authority for Statistics (GASTAT),Real Gross Domestic Product,2026-Q2,flash estimate,2026-07-30,2026-08-20,Government activities,0.9,percent year-on-year growth,"chain-linked volume measure; 2023=100",https://stats.gov.sa/en/w/gdp-flash-estimate-q2/2026-1,GDP Flash Estimates 2026Q2-EN (1).xlsx,,OFFICIAL SOURCE | REAL PUBLIC DATA | FOUNDER PRODUCED | PENDING INDEPENDENT REPRODUCTION
