record_id,country,country_code,indicator,period,earlier_value,later_value,revision_pp,sign_reversal,earlier_source,later_source,source_status,notes
NRP-SAU-2023,Saudi Arabia,SAU,real_gdp_growth_pct,2023,-0.8,0.5,1.3,true,https://www.stats.gov.sa/documents/20117/2066979/GDP%2BFQ42023E_0.pdf/145eeef3-ea98-4826-5ad8-7a882d486564,https://www.stats.gov.sa/documents/d/guest/annual-national-accounts-publication-2023-en-28-4-2025-pdf,primary_verified,"Same reference year; comprehensive national-accounts revision changes contraction to growth."
NRP-MAR-2015,Morocco,MAR,real_gdp_growth_pct,2015,4.5,4.3,-0.2,false,https://applications-web.hcp.ma/DCN/Doc/RappBase14.pdf,https://applications-web.hcp.ma/DCN/Doc/RappBase14.pdf,primary_verified,"HCP base-2014 impact report publishes the comparable base-2007/base-2014 growth pair; magnitude revision only."
NRP-MAR-2016,Morocco,MAR,real_gdp_growth_pct,2016,1.1,0.5,-0.6,false,https://applications-web.hcp.ma/DCN/Doc/RappBase14.pdf,https://applications-web.hcp.ma/DCN/Doc/RappBase14.pdf,primary_verified,"HCP base-2014 impact report publishes the comparable base-2007/base-2014 growth pair; magnitude revision only."
NRP-MAR-2017,Morocco,MAR,real_gdp_growth_pct,2017,4.2,5.1,0.9,false,https://applications-web.hcp.ma/DCN/Doc/RappBase14.pdf,https://applications-web.hcp.ma/DCN/Doc/RappBase14.pdf,primary_verified,"HCP base-2014 impact report publishes the comparable base-2007/base-2014 growth pair; magnitude revision only."
NRP-MAR-2018,Morocco,MAR,real_gdp_growth_pct,2018,3.1,3.1,0.0,false,https://applications-web.hcp.ma/DCN/Doc/RappBase14.pdf,https://applications-web.hcp.ma/DCN/Doc/RappBase14.pdf,primary_verified,"HCP base-2014 impact report publishes the comparable base-2007/base-2014 growth pair; no growth-rate revision in this row."
NRP-TUN-2015,Tunisia,TUN,real_gdp_growth_pct,2015,1.2,1.0,-0.2,false,https://www.ins.tn/sites/default/files/publication/pdf/15082021%20SCNT%20Base%202015%20Document%20synthese_0.pdf,https://www.ins.tn/sites/default/files/publication/pdf/15082021%20SCNT%20Base%202015%20Document%20synthese_0.pdf,primary_verified,"INS publishes old/new base comparison in the rebasing synthesis; sign preserved."
NRP-TUN-2019,Tunisia,TUN,real_gdp_growth_pct,2019,0.9,1.4,0.5,false,https://www.ins.tn/sites/default/files/publication/pdf/15082021%20SCNT%20Base%202015%20Document%20synthese_0.pdf,https://www.ins.tn/sites/default/files/publication/pdf/15082021%20SCNT%20Base%202015%20Document%20synthese_0.pdf,primary_verified,"INS publishes old/new base comparison in the rebasing synthesis; sign preserved."
NRP-TUN-2020,Tunisia,TUN,real_gdp_growth_pct,2020,-8.8,-9.2,-0.4,false,https://www.ins.tn/sites/default/files/publication/pdf/15082021%20SCNT%20Base%202015%20Document%20synthese_0.pdf,https://www.ins.tn/sites/default/files/publication/pdf/15082021%20SCNT%20Base%202015%20Document%20synthese_0.pdf,primary_verified,"INS publishes old/new base comparison in the rebasing synthesis; contraction remains contraction."
