record_id,country,country_code,indicator,reference_period,vintage_state,release_date,value,unit,source_url,comparability_note,validation_state
SAU-GDP-2023-REAL-PRE,Saudi Arabia,SAU,Real GDP growth,2023,pre-comprehensive-revision,2025-03-09,-0.8,percent,"https://www.stats.gov.sa/documents/20117/2435267/GDP%2BFQ42024E_v2%2B%281%29.pdf/b20a6cf0-a825-f230-d6d1-f504fed15014","Annual 2023 real-growth value shown in final pre-comprehensive-revision 2024/Q4 publication","OFFICIAL SOURCE / VERIFIED PAIR"
SAU-GDP-2023-REAL-REV,Saudi Arabia,SAU,Real GDP growth,2023,comprehensive-revision,2025-05-01,0.5,percent,"https://www.stats.gov.sa/documents/d/guest/annual-national-accounts-publication-2023-en-28-4-2025-pdf","Annual 2023 real-growth value after comprehensive revision","OFFICIAL SOURCE / VERIFIED PAIR"
SAU-GDP-2023-NOM-PRE,Saudi Arabia,SAU,GDP at current prices,2023,pre-comprehensive-revision,2024-03-01,4003,SAR billion,"https://www.stats.gov.sa/sites/default/files/GDP%20FQ42023E_0.pdf","Rounded published total; do not derive the official revision amount from rounded display values","OFFICIAL SOURCE / VERIFIED ROUNDED TOTAL"
SAU-GDP-2023-NOM-REV,Saudi Arabia,SAU,GDP at current prices,2023,comprehensive-revision,2025-05-01,4570,SAR billion,"https://www.stats.gov.sa/documents/d/guest/annual-national-accounts-publication-2023-en-28-4-2025-pdf","Rounded published total; GASTAT reports the underlying revision as +14.1% / +SAR 566bn","OFFICIAL SOURCE / VERIFIED ROUNDED TOTAL"
