pair_id,series_or_object,archive_label,arabic_file,arabic_last_modified,english_file,english_last_modified,calendar_day_gap,measurement_note,source_directory,retrieved_date
JOR-CPI-FEB-2026,Consumer Price Index,"archive pair labelled CPI_Feb",CPI_Feb.pdf,2026-03-11T12:40:00+03:00,CPI_Feb_en.pdf,2026-03-17T13:47:00+03:00,6,"Gap is between public directory file timestamps; it is not asserted to equal first dissemination time in every official channel",https://dosweb.dos.gov.jo/DataBank/News/Inflation/2026/,2026-08-17
JOR-CPI-MAR-2026,Consumer Price Index,"archive pair labelled CPI_Mar",CPI_Mar.pdf,2026-04-13T11:58:00+03:00,CPI_Mar_en.pdf,2026-04-16T09:52:00+03:00,3,"Gap is between public directory file timestamps; it is not asserted to equal first dissemination time in every official channel",https://dosweb.dos.gov.jo/DataBank/News/Inflation/2026/,2026-08-17
JOR-CPI-MAY-2026,Consumer Price Index,"archive pair labelled CPI_May",CPI_May.pdf,2026-05-14T13:20:00+03:00,CPI_May_en.pdf,2026-05-24T10:53:00+03:00,10,"Gap is between public directory file timestamps; it is not asserted to equal first dissemination time in every official channel",https://dosweb.dos.gov.jo/DataBank/News/Inflation/2026/,2026-08-17
JOR-CPI-JUN-2026,Consumer Price Index,"archive pair labelled CPI_Jun",CPI_Jun.pdf,2026-06-17T11:04:00+03:00,CPI_Jun_en.pdf,2026-06-18T12:10:00+03:00,1,"Gap is between public directory file timestamps; it is not asserted to equal first dissemination time in every official channel",https://dosweb.dos.gov.jo/DataBank/News/Inflation/2026/,2026-08-17
JOR-LFS-Q4-2025,Employment and unemployment,Q4 2025,unemp_Q4_2025.pdf,2026-04-02T13:38:00+03:00,unemp_Q4_2025_en.pdf,2026-04-15T11:33:00+03:00,13,"Gap is between public directory file timestamps; it is not asserted to equal first dissemination time in every official channel",https://dosweb.dos.gov.jo/DataBank/News/Unemployment/2026/,2026-08-17
JOR-LFS-Q1-2026,Employment and unemployment,Q1 2026,unemp_Q1_2026.pdf,2026-06-01T10:00:00+03:00,unemp_Q1_2026_en.pdf,2026-06-17T12:03:00+03:00,16,"Gap is between public directory file timestamps; it is not asserted to equal first dissemination time in every official channel",https://dosweb.dos.gov.jo/DataBank/News/Unemployment/2026/,2026-08-17
